german,english,part_of_speech,gender,plural,level,frequency_rank
danken,to thank,verb,,,A1,1
wohnen,to live,verb,,,A1,2
ergänzen,to supplement,verb,,,A1,3
zahlen,to pay,verb,,,A1,4
heute,today,adverb,,,A1,5
ab,away from or off,preposition,,,A1,6
aber,but,conjunction,,,A1,7
abfahren,to depart,verb,,,A1,8
abgeben,to hand in,verb,,,A1,9
allein,to leave alone,verb,,,A1,10
also,therefore,adjective,,,A1,11
Alter,age,noun,das,Alter,A1,12
an,at,preposition,,,A1,13
anfangen,to start,verb,,,A1,14
anklicken,to click on,verb,,,A1,15
Anrede,Form of address,noun,die,Anreden,A1,16
Anruf,a phone call,noun,der,Anrufe,A1,17
Ansage,announcement,noun,die,Ansagen,A1,18
antworten,to answer,verb,,,A1,19
Anzeige,Advertisement,noun,die,Anzeigen,A1,20
Apartment,Apartment,noun,das,Apartments,A1,21
arbeitslos,unemployed,adjective,,,A1,22
Arbeitsplatz,workplace,noun,der,Arbeitsplätze,A1,23
Arzt,doctor,noun,der,Ärzte,A1,24
auch,also,adjective,,,A1,25
Aufgabe,task,noun,die,Aufgaben,A1,26
aufhören,to stop,verb,,,A1,27
aufstehen,to stand up,verb,,,A1,28
Auge,eye (organ of sight),noun,das,Augen,A1,29
aus,out of,preposition,,,A1,30
ausfüllen,to fill out,verb,,,A1,31
aussehen,to look,verb,,,A1,32
Auto,car,noun,das,Autos,A1,33
automatisch,automatically,adjective,,,A1,34
baden,to bathe,verb,,,A1,35
bald,soon,adjective,,,A1,36
Balkon,balcony,noun,,,A1,37
beginnen,to begin,verb,,,A1,38
bei,at,preposition,,,A1,39
Bein,leg,noun,,,A1,40
bekannt,well-known,adjective,,,A1,41
besichtigen,to inspect,verb,,,A1,42
bestellen,to order,verb,,,A1,43
Bett,bed,noun,das,Betten,A1,44
bitter,bitter,adjective,,,A1,45
bleiben,to stay,verb,,,A1,46
Blick,glance,noun,der,Blicke,A1,47
böse,evil,adjective,,,A1,48
Briefmarke,postage stamp,noun,die,Briefmarken,A1,49
Bruder,brother,noun,der,Brüder,A1,50
Buch,book,noun,das,Bücher,A1,51
Buchstabe,letter (a single character or symbol in an alphabet),noun,der,Buchstaben,A1,52
buchstabieren,to spell,verb,,,A1,53
da,there,adjective,,,A1,54
daneben,next to it,verb,,,A1,55
dann,then,verb,,,A1,56
denn,for,verb,,,A1,57
Doktor,doctor (a person who has been awarded the highest academic degree,noun,der,Doktoren,A1,58
Dorf,village,noun,das,Dörfer,A1,59
dort,there,adverb,,,A1,60
drucken,to print,verb,,,A1,61
drücken,to press,verb,,,A1,62
durch,through,preposition,,,A1,63
Durchsage,announcement,noun,die,Durchsagen,A1,64
dürfen,to be allowed to,verb,,,A1,65
Ecke,corner,noun,die,Ecken,A1,66
einfach,simple,adjective,,,A1,67
einkaufen,to shop,verb,,,A1,68
einmal,once,adjective,,,A1,69
einsteigen,to get in,verb,,,A1,70
Eintritt,admission,noun,der,Eintritte,A1,71
Empfänger,recipient,noun,der,Empfänger,A1,72
enden,to end,verb,,,A1,73
erlauben,to allow,verb,,,A1,74
es,it,pronoun,,,A1,75
fahren,to drive,verb,,,A1,76
falsch,wrong,adjective,,,A1,77
Familie,family,noun,die,Familien,A1,78
Farbe,color,noun,die,Farben,A1,79
feiern,to celebrate,verb,,,A1,80
fehlen,to be missing,verb,,,A1,81
Fehler,mistake,noun,der,Fehler,A1,82
Film,film,noun,der,Filme,A1,83
finden,to find,verb,,,A1,84
Flasche,bottle,noun,die,Flaschen,A1,85
fliegen,to fly,verb,,,A1,86
Formular,Form,noun,das,Formulare,A1,87
Frau,woman,noun,die,Frauen,A1,88
fremd,foreign,adjective,,,A1,89
Freund,friend,noun,der,Freunde,A1,90
frühstücken,to have breakfast,verb,,,A1,91
Führung,leadership,noun,die,Führungen,A1,92
Gast,guest,noun,der,Gäste,A1,93
gefallen,to please,verb,,,A1,94
gehen,to go,verb,,,A1,95
gerade,straight,adjective,,,A1,96
Geschenk,gift,noun,das,Geschenke,A1,97
gestern,yesterday,verb,,,A1,98
Getränk,drink,noun,das,Getränke,A1,99
glauben,to believe,verb,,,A1,100
gleich,same,adjective,,,A1,101
glücklich,happy,adjective,,,A1,102
grillen,to grill,verb,,,A1,103
groß,big,adjective,,,A1,104
Gruß,greeting,noun,der,Grüße,A1,105
gültig,valid,adjective,,,A1,106
günstig,favorable,adjective,,,A1,107
Haar,hair (referring to a single strand or the collective mass of hair on the head or body),noun,das,Haare,A1,108
haben,to have,verb,,,A1,109
halten,to hold,verb,,,A1,110
Hand,hand (a body part at the end of the arm),noun,die,Hände,A1,111
heiraten,to marry,verb,,,A1,112
heißen,to be called,verb,,,A1,113
hell,bright,adjective,,,A1,114
hinten,at/in the back,verb,,,A1,115
Hobby,hobby,noun,das,Hobbys,A1,116
hoch,high,adjective,,,A1,117
holen,to fetch,verb,,,A1,118
immer,always,adverb,,,A1,119
in,in,preposition,,,A1,120
Information,to inform,verb,,,A1,121
international,international,adjective,,,A1,122
ja,yes,adjective,,,A1,123
Jacke,jacket,noun,die,Jacken,A1,124
jetzt,now,adjective,,,A1,125
Jugendliche,adolescent or young person,noun,der,Jugendliche,A1,126
Junge,boy,noun,der,Jungen,A1,127
kaputt,broken,adjective,,,A1,128
Karte,card,noun,die,Karten,A1,129
Kartoffel,potato,noun,die,Kartoffeln,A1,130
kaufen,to buy,verb,,,A1,131
kennen,to know,verb,,,A1,132
Kino,cinema,noun,das,Kinos,A1,133
klein,small,adjective,,,A1,134
kochen,to cook,verb,,,A1,135
kommen,to come,verb,,,A1,136
können,to be able to,verb,,,A1,137
kosten,to cost,verb,,,A1,138
krank,ill,adjective,,,A1,139
kriegen,to get,verb,,,A1,140
kulturell,cultural,adjective,,,A1,141
Kunde,customer,noun,der,Kunden,A1,142
Kurs,course,noun,der,Kurse,A1,143
kurz,short,adjective,,,A1,144
lachen,to laugh,verb,,,A1,145
Laden,to load,verb,,,A1,146
Land,country,noun,das,Länder,A1,147
lang,long,adjective,,,A1,148
laufen,to run,verb,,,A1,149
laut,loudly/loud,adjective,,,A1,150
Leben,to live,verb,,,A1,151
Mittel,means,noun,das,Mittel,A1,152
ledig,unmarried,adjective,,,A1,153
legen,to lay or to put,verb,,,A1,154
leicht,easy,adjective,,,A1,155
leider,unfortunately,adjective,,,A1,156
leise,quiet,adjective,,,A1,157
lesen,to read,verb,,,A1,158
lieb,dear,adjective,,,A1,159
liegen,to lie,verb,,,A1,160
links,on/to the left,adjective,,,A1,161
Lösung,solution,noun,die,Lösungen,A1,162
lustig,funny,adjective,,,A1,163
Mann,man (a male adult human being),noun,,,A1,164
Maschine,machine,noun,die,Maschinen,A1,165
mehr,more,adjective,,,A1,166
meist,most,adjective,,,A1,167
Mensch,human being,noun,der,Menschen,A1,168
mieten,to rent,verb,,,A1,169
möglich,possible,adjective,,,A1,170
müde,tired,adjective,,,A1,171
müssen,to have to,verb,,,A1,172
Mutter,mother,noun,die,Mütter,A1,173
nach,after,preposition,,,A1,174
Name,name,noun,der,Namen,A1,175
nehmen,to take,verb,,,A1,176
nein,no,verb,,,A1,177
nicht,Not,adjective,,,A1,178
nichts,nothing,adjective,,,A1,179
noch,still,adjective,,,A1,180
Nummer,number,noun,die,Nummern,A1,181
oben,above,verb,,,A1,182
öffnen,to open,verb,,,A1,183
ohne,without,preposition,,,A1,184
Party,party,noun,die,Partys or Parties,A1,185
Pass,passport,noun,der,Pässe,A1,186
Plan,to plan,verb,,,A1,187
Platz,place,noun,der,Plätze,A1,188
Praktikum,internship,noun,das,Praktika,A1,189
Preis,price,noun,der,Preise,A1,190
Problem,problem,noun,das,Probleme,A1,191
Prospekt,brochure,noun,der,Prospekte,A1,192
pünktlich,on time,adjective,,,A1,193
rauchen,to smoke,verb,,,A1,194
Rechnung,bill,noun,die,Rechnungen,A1,195
rechts,to the right,adjective,,,A1,196
regnen,to rain,verb,,,A1,197
reisen,to travel,verb,,,A1,198
reparieren,to repair,verb,,,A1,199
Restaurant,restaurant,noun,das,Restaurants,A1,200
riechen,to smell,verb,,,A1,201
ruhig,calm/quiet,adjective,,,A1,202
scheinen,to seem,verb,,,A1,203
schicken,to send,verb,,,A1,204
Schinken,ham (a cured and often smoked meat product),verb,,,A1,205
schlafen,to sleep,verb,,,A1,206
schließen,to close,verb,,,A1,207
Schlüssel,key (a device used to operate a lock),noun,der,Schlüssel,A1,208
schnell,fast,adjective,,,A1,209
Schrank,cabinet or wardrobe,noun,der,Schränke,A1,210
schreiben,to write,verb,,,A1,211
Schwester,sister,noun,die,Schwestern,A1,212
schwimmen,to swim,verb,,,A1,213
sehen,to see,verb,,,A1,214
sein,to be,verb,,,A1,215
seit,since,preposition,,,A1,216
selbstständig,independent,adjective,,,A1,217
sofort,immediately,adjective,,,A1,218
Sohn,son,noun,,,A1,219
spät,late,adjective,,,A1,220
Speisekarte,menu,noun,die,Speisekarten,A1,221
spielen,to play,verb,,,A1,222
Stadt,city,noun,die,Städte,A1,223
stehen,to stand,verb,,,A1,224
Stelle,position,noun,die,Stellen,A1,225
studieren,to study,verb,,,A1,226
Stunde,hour,noun,die,Stunden,A1,227
Tasche,bag,noun,die,Taschen,A1,228
Teil,part,noun,,Teile,A1,229
Termin,to fix,verb,,,A1,230
teuer,expensive,adjective,,,A1,231
Text,text,noun,der,Texte,A1,232
Tisch,table,noun,der,Tische,A1,233
Tochter,daughter,noun,die,Töchter,A1,234
Tomate,tomato (a red or yellowish fruit used in cooking),noun,die,Tomaten,A1,235
Treppe,staircase,noun,die,Treppen,A1,236
über,over,preposition,,,A1,237
übernachten,to stay overnight,verb,,,A1,238
überweisen,to transfer (money),verb,,,A1,239
um,around,preposition,,,A1,240
sich umziehen,to change clothes,verb,,,A1,241
unten,below,verb,,,A1,242
unter,under,preposition,,,A1,243
Vater,father,noun,der,Väter,A1,244
verboten,to forbid,verb,,,A1,245
verdienen,to earn,verb,,,A1,246
verheiratet,married,adjective,,,A1,247
